pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_masse,pl_massj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,pl_orbeccen,pl_insol,pl_eqt,ttv_flag,st_spectype,st_teff,st_rad,st_mass,st_lum,st_age,st_dens,st_vsin,rastr,ra,decstr,dec,sy_dist,rowupdate
Kepler-454 b,Kepler-454,2,2,Transit,2015,Kepler,0,10.57000000,,2.354,0.210,6.05338,0.01905,6.05338,0.01905,Mass,,0.000000,,,0,,5701.00,1.05,0.85,,,1.0400,,19h09m54.88s,287.4786474,+38d13m44.67s,38.2290751,230.8690000,2020-11-13
Kepler-454 c,Kepler-454,2,2,Radial Velocity,2015,Multiple Facilities,0,523.90000000,,,,,,1417.52180,4.46000,Msini,,0.021400,,,0,,5701.00,1.07,1.03,,5.250,1.1990,2.4000,19h09m54.88s,287.4786474,+38d13m44.67s,38.2290751,230.8690000,2015-12-02
Kepler-457 d,KOI-7892,1,3,Transit,2021,Kepler,0,10.69060040,,2.985,0.266,,,,,,,,,,0,,6474.00,1.24,1.15,,,0.3189,,18h49m30.61s,282.3775397,+44d41m40.45s,44.6945690,1072.3000000,2021-12-05
Kepler-458 c,KIC 9663113,1,2,Transit,2016,Kepler,0,20.74028413,,4.200,0.375,,,,,,,,,,0,,6117.21,2.22,1.15,0.792,,0.1491,,19h48m10.90s,297.0454037,+46d19m43.20s,46.3286653,1594.7400000,2016-05-06
Kepler-46 b,Kepler-46,1,3,Transit,2012,Kepler,0,33.60134000,0.196800,9.057,0.808,1907.00000,6.00000,1907.00000,6.00000,Mass,14.00000,0.010000,,543,1,,5155.00,0.94,0.90,-0.255,9.700,1.5300,,19h17m04.50s,289.2687388,+42d36m15.05s,42.6041819,777.0600000,2014-05-14
Kepler-46 c,Kepler-46,1,3,Transit Timing Variations,2012,Kepler,0,57.01100000,0.279900,,,119.49900,0.37600,119.49900,0.37600,Mass,,0.014600,,455,1,,5155.00,0.94,0.90,-0.255,9.700,1.5300,,19h17m04.50s,289.2687388,+42d36m15.05s,42.6041819,777.0600000,2021-11-18
Kepler-46 d,Kepler-46,1,3,Transit,2014,Kepler,0,6.76658900,0.067000,1.640,0.146,,,,,,,,,,1,,5309.00,0.79,,,,,,19h17m04.50s,289.2687388,+42d36m15.05s,42.6041819,777.0600000,2014-05-14
Kepler-460 c,KIC 5437945,1,2,Transit,2016,Kepler,0,220.13033570,,5.520,0.492,,,,,,,,,,0,,6146.00,1.26,1.17,,3.160,,,19h13m53.98s,288.4749028,+40d39m04.63s,40.6512848,1274.0100000,2016-05-06
Kepler-461 b,Kepler-461,1,1,Transit,2016,Kepler,0,8.31378306,,2.580,0.230,,,,,,,,,,0,,5634.00,0.91,0.98,,2.510,,,19h28m59.77s,292.2490563,+46d09m53.25s,46.1647909,692.1580000,2016-05-06
Kepler-462 b,Kepler-462,1,2,Transit,2016,Kepler,0,84.68660000,,3.000,0.268,53.90000,0.16959,53.90000,0.16959,Mass,9.30000,0.042000,,,0,,7500.00,1.57,1.59,,0.500,0.5600,80.0000,19h59m17.08s,299.8211502,+43d48m51.41s,43.8142793,596.6250000,2020-10-30
Kepler-462 c,Kepler-462,1,2,Transit,2020,Kepler,0,207.62000000,,4.000,0.357,6.00000,0.01888,6.00000,0.01888,Mass,0.40000,0.110000,,,1,,7500.00,1.57,1.59,,0.500,0.5600,80.0000,19h59m17.08s,299.8211502,+43d48m51.41s,43.8142793,596.6250000,2020-10-30
Kepler-463 b,Kepler-463,1,1,Transit,2016,Kepler,0,8.98101683,,3.050,0.272,,,,,,,,,,0,,5661.00,0.90,0.87,,7.410,,,19h55m44.84s,298.9368228,+44d51m28.31s,44.8578644,394.8040000,2016-05-06
Kepler-464 b,Kepler-464,1,1,Transit,2016,Kepler,0,7.25696522,,3.300,0.294,,,,,,,,,,0,,5933.00,1.59,1.21,,4.900,,,19h39m20.43s,294.8351052,+48d58m56.35s,48.9823204,667.6040000,2016-05-06
Kepler-465 b,Kepler-465,1,1,Transit,2016,Kepler,0,9.94067247,,2.950,0.263,,,,,,,,,,0,,6310.00,1.29,1.23,,2.190,,,18h58m13.39s,284.5557853,+46d03m49.99s,46.0638865,553.0770000,2016-05-06
Kepler-466 b,Kepler-466,1,2,Transit,2016,Kepler,0,51.07926307,,2.850,0.254,,,,,,,,,,0,,5927.00,1.05,1.04,,3.470,,,19h42m35.68s,295.6486585,+48d29m43.87s,48.4955191,530.1220000,2016-05-06
Kepler-466 c,Kepler-466,1,2,Transit,2016,Kepler,0,3.70921385,,1.250,0.112,,,,,,,,,,0,,5927.00,1.05,1.04,,3.470,,,19h42m35.68s,295.6486585,+48d29m43.87s,48.4955191,530.1220000,2016-05-06
Kepler-467 b,Kepler-467,1,1,Transit,2016,Kepler,0,24.99324193,,2.250,0.201,,,,,,,,,,0,,5809.00,1.37,1.05,,8.130,,,19h09m27.10s,287.3629145,+38d38m59.04s,38.6497341,466.2650000,2016-05-06
Kepler-468 b,Kepler-468,1,1,Transit,2016,Kepler,0,38.47875707,,13.340,1.190,,,,,,,,,,0,,5498.00,0.87,0.96,,2.000,,,19h15m36.55s,288.9022829,+49d22m13.47s,49.3704079,442.8710000,2016-05-06
Kepler-47 b,Kepler-47,2,3,Transit,2012,Kepler,0,49.46430000,0.287700,3.050,0.272,2.07000,0.00651,2.07000,0.00651,Mass,0.40000,0.021000,,,1,,,0.94,0.96,,,1.6500,,19h41m11.49s,295.2978883,+46d55m13.55s,46.9204303,1025.0200000,2019-04-22
Kepler-47 c,Kepler-47,2,3,Transit,2012,Kepler,0,303.22700000,0.963800,4.650,0.415,3.17000,0.00997,3.17000,0.00997,Mass,0.17000,0.044000,,,1,,,0.94,0.96,,,1.6500,,19h41m11.49s,295.2978883,+46d55m13.55s,46.9204303,1025.0200000,2019-04-22
